Metadata_broad_sample,Metadata_Plate,Metadata_Well,Metadata_pert_iname,Metadata_InChIKey,Control,Cytoskeletal,Hsp90,Kinase,Genotoxin,Miscellaneous,Redox,HDAC,mTOR,Proteasome,Saponin,Mitochondria,Ferroptosis,Tannin,Nonspecific reactive,pred_injury,datatype,shuffled
BRD-K00259736-001-16-4,BR00117052,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,2.585415124806212e-136,1.0,7.088101736738002e-33,8.394975660042254e-94,3.0112153957680146e-52,1.0096059130898763e-73,1.0572126964377522e-41,2.173680054365272e-125,2.2313394404047646e-143,6.380331414891357e-58,2.7002884065258443e-130,9.746950812188804e-61,6.05480291692526e-151,6.750969970060159e-37,3.517582618208145e-52,Cytoskeletal,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00117053,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,3.153142977061764e-129,1.0,3.1204866708045066e-41,9.717593011350567e-90,3.537733005827405e-59,4.0039509722717795e-74,1.4640359136898607e-47,9.421418700532018e-122,1.818205566296484e-144,7.329709955989731e-68,3.951702045592613e-128,1.485331621533909e-67,1.3654740139799954e-163,1.7041663983087671e-53,1.5856851763351787e-43,Cytoskeletal,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00117050,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,4.3414145548460686e-106,0.0033738004903427696,0.9966261995096574,3.327448261198252e-55,2.1961494840285873e-46,3.2302235871675516e-57,7.138435938482292e-36,4.331170161399147e-91,1.6849245035061819e-102,6.849231068392871e-50,7.688630819188943e-105,4.062814425769685e-51,1.7996484258615115e-110,5.1605967291439866e-46,3.195410413255602e-21,Hsp90,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00117051,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,4.760701309680112e-107,1.0,2.3690121381248216e-36,4.756987180576205e-73,2.576785740478903e-62,5.576717865335075e-64,5.3725362508771554e-45,1.0982243353627686e-102,7.379991642907694e-128,1.1462034286746815e-55,1.9291170171668013e-117,4.559214831968605e-79,8.089195955445799e-146,3.74584106283528e-43,1.329606171210968e-23,Cytoskeletal,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00116991,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,1.456973209176818e-26,8.281530893133034e-27,2.3246406751119322e-27,3.7847808756725584e-25,1.8124829582689394e-26,8.20168819695292e-27,1.4091743008232974e-14,2.731216436511361e-29,0.999999999999986,9.943648542151786e-28,1.4227092887256736e-27,4.237340761097858e-35,7.89035112894906e-41,4.304843452792002e-32,2.810747507557039e-17,mTOR,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00116992,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,8.525472195277906e-21,3.181023804028244e-22,1.968732397595561e-19,1.5067679461556425e-22,8.214971359387045e-20,2.366055257317659e-23,9.471621176333071e-15,1.6704753562790723e-25,0.9999999999998685,2.320119449399968e-17,3.682942429150377e-23,1.608448909653556e-35,1.0736213026618795e-39,2.418780009536977e-31,1.2190962685884896e-13,mTOR,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00116993,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,5.930367487715515e-19,4.1906746673541784e-20,2.8430656879097293e-18,7.5340061450768e-21,4.529569076560675e-18,3.465224678826544e-21,8.388551687843021e-08,2.6326494746576675e-23,0.999999916112369,1.6498661627116683e-20,1.1722002441000376e-20,2.668722693375222e-35,1.922906800929458e-45,5.126825301106282e-25,2.114056567651381e-12,mTOR,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00116994,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,3.725997770438881e-19,1.742863658578699e-19,2.111624147124332e-17,3.0226695414829943e-20,1.9566461698044514e-18,1.5290179633444777e-20,1.2940379428279174e-05,3.4658337957829045e-23,0.999987059620536,7.66339032248865e-17,2.665595821510257e-19,1.3921989727201833e-33,3.9542494762459687e-44,2.4198183780063873e-30,3.570448383158569e-14,mTOR,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00116995,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,2.313382074435603e-08,1.3124127386650602e-08,0.0001993172841933663,4.457862823558523e-08,7.294777614215155e-08,9.432764870758178e-10,7.991978862580105e-11,2.639558878162001e-09,0.9998001491506241,2.9649087470166094e-16,1.044075583220955e-11,6.570077839190419e-11,4.663321220852862e-14,1.431355792871837e-22,3.760418865585987e-07,mTOR,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00117024,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,1.4144607133884497e-13,3.877319462664206e-15,1.6231248127850185e-08,3.088315141879948e-14,2.759599685827654e-12,3.779287052173994e-17,4.095078619819447e-21,2.0725006349396826e-14,0.9999999837657951,8.31157585883508e-18,1.8973918156770025e-21,9.000908247515109e-20,1.3164318110089232e-16,1.3489737891725242e-39,1.0077789954037965e-16,mTOR,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00117025,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,5.5343773246643475e-17,8.978090029681562e-18,1.892840909379467e-11,9.20184911424742e-17,6.877766899464176e-16,1.4444589464948375e-19,9.92983006216311e-22,1.4524874803364493e-18,0.9999999999810707,4.1367083688217828e-22,1.6331922342184495e-21,1.0299680028882212e-22,3.2433670642901206e-26,2.30020087306971e-41,2.1765286915574438e-18,mTOR,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00117026,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,1.5367924482049885e-09,4.209506342222444e-10,0.0004232607329607769,2.333185591413899e-09,2.3017119199506565e-08,7.984016737821473e-11,1.0446297565586314e-16,6.917399591850867e-11,0.999576711803329,1.1771320707239107e-13,1.7593571028712494e-12,1.3867852300878367e-16,1.8817356953694607e-13,4.859579313316048e-27,4.582684815956164e-12,mTOR,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00117017,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,7.108498013596844e-10,2.870054567454771e-11,1.0999453981016176e-08,9.414400470655248e-11,1.6767116484623728e-09,1.1942268552867357e-10,0.9997669998049606,1.0544657873423517e-08,1.543425817093217e-05,2.133133182366484e-11,1.7410037343799157e-10,1.9005084099558945e-16,3.50497777556523e-27,7.255180078744211e-07,0.0002168160494881744,Redox,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00117019,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,1.0154482954127458e-13,2.3375784120224682e-14,1.9125869424209767e-11,5.0998108063200213e-14,3.156395387211913e-13,7.73844516224549e-14,0.9999999934573289,6.294083167353221e-13,6.623936063397068e-10,3.764294955183263e-16,8.047958638556339e-14,3.519352960455164e-20,3.968018606934947e-31,4.915733965158928e-15,5.859867326094183e-09,Redox,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00117015,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,1.3344268010861985e-10,4.776694081715895e-11,1.3165450315264544e-07,4.2407319625603304e-11,4.77014829989543e-10,8.895560317346541e-11,0.9999949764207714,1.4825708380424597e-09,5.844107666422664e-10,2.6941295266336962e-11,4.7622687725998406e-11,2.6300931972373305e-15,8.254754840561955e-26,1.803687974510942e-10,4.8888132211740535e-06,Redox,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00117016,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,4.152118237714217e-21,2.818435030391685e-22,3.453842009716369e-19,3.9303885086479126e-22,3.396092782613163e-20,1.6781300237625665e-21,0.9999999999999931,1.2916351169178488e-20,6.786950652168084e-15,3.276721515692616e-25,1.293058226127772e-22,1.758383501824461e-29,1.1957275309261292e-46,1.4572904398388463e-23,4.8594385104584126e-17,Redox,JUMP Overlap,True
